movie_title,gross,budget,genres,title_year,duration,profit,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,profit_norm
Battleship ,65173160.0,209000000.0,Action|Adventure|Sci-Fi|Thriller,2012.0,131.0,-143826840.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.9476059563915256
Jurassic World ,652177271.0,150000000.0,Action|Adventure|Sci-Fi|Thriller,2015.0,124.0,502177271.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.9983254374275081
Skyfall ,304360277.0,200000000.0,Action|Adventure|Thriller,2012.0,143.0,104360277.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9670917794067551
Spider-Man 2 ,373377893.0,200000000.0,Action|Adventure|Fantasy|Romance,2004.0,135.0,173377893.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.9725105338794503
Iron Man 3 ,408992272.0,200000000.0,Action|Adventure|Sci-Fi,2013.0,195.0,208992272.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9753067124014455
Alice in Wonderland ,334185206.0,200000000.0,Adventure|Family|Fantasy,2010.0,108.0,134185206.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9694334129893547
X-Men: The Last Stand ,234360014.0,210000000.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,2006.0,104.0,24360014.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.9608107484457894
Monsters University ,268488329.0,200000000.0,Adventure|Animation|Comedy|Family|Fantasy,2013.0,104.0,68488329.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9642753784654463
Transformers: Revenge of the Fallen ,402076689.0,200000000.0,Action|Adventure|Sci-Fi,2009.0,150.0,202076689.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9747637517997269
Transformers: Age of Extinction ,245428137.0,210000000.0,Action|Adventure|Sci-Fi,2014.0,165.0,35428137.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9616797358795279
Oz the Great and Powerful ,234903076.0,215000000.0,Adventure|Family|Fantasy,2013.0,130.0,19903076.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9604608225265571
The Amazing Spider-Man 2 ,202853933.0,200000000.0,Action|Adventure|Fantasy|Sci-Fi,2014.0,142.0,2853933.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.9591222494891043
TRON: Legacy ,172051787.0,170000000.0,Action|Adventure|Sci-Fi,2010.0,125.0,2051787.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9590592708978812
Cars 2 ,191450875.0,200000000.0,Adventure|Animation|Comedy|Family|Sport,2011.0,106.0,-8549125.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.9582269654280046
Green Lantern ,116593191.0,200000000.0,Action|Adventure|Sci-Fi,2011.0,123.0,-83406809.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.952349691863664
Toy Story 3 ,414984497.0,200000000.0,Adventure|Animation|Comedy|Family|Fantasy,2010.0,103.0,214984497.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9757771777391666
Terminator Salvation ,125320003.0,200000000.0,Action|Adventure|Sci-Fi,2009.0,118.0,-74679997.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9530348568157159
Furious 7 ,350034110.0,190000000.0,Action|Crime|Thriller,2015.0,140.0,160034110.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.971462878396625
World War Z ,202351611.0,190000000.0,Action|Adventure|Horror|Sci-Fi|Thriller,2013.0,123.0,12351611.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.9598679371573471
X-Men: Days of Future Past ,233914986.0,200000000.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,2014.0,149.0,33914986.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.9615609344165925
Star Trek Into Darkness ,228756232.0,190000000.0,Action|Adventure|Sci-Fi,2013.0,132.0,38756232.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9619410333672129
Jack the Giant Slayer ,65171860.0,195000000.0,Adventure|Fantasy,2013.0,114.0,-129828140.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9487050311297333
The Great Gatsby ,144812796.0,105000000.0,Drama|Romance,2013.0,143.0,39812796.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9620239869844559
Prince of Persia: The Sands of Time ,90755643.0,200000000.0,Action|Adventure|Fantasy|Romance,2010.0,116.0,-109244357.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.9503211180458075
Pacific Rim ,101785482.0,190000000.0,Action|Adventure|Sci-Fi,2013.0,131.0,-88214518.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9519722259910792
Transformers: Dark of the Moon ,352358779.0,195000000.0,Action|Adventure|Sci-Fi,2011.0,154.0,157358779.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9712528311266326
Indiana Jones and the Kingdom of the Crystal Skull ,317011114.0,185000000.0,Action|Adventure|Fantasy,2008.0,122.0,132011114.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9692627193109603
Brave ,237282182.0,185000000.0,Adventure|Animation|Comedy|Family|Fantasy,2012.0,93.0,52282182.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9630029912601072
Star Trek Beyond ,130468626.0,185000000.0,Action|Adventure|Sci-Fi|Thriller,2016.0,122.0,-54531374.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.9546167781761973
WALL·E ,223806889.0,180000000.0,Adventure|Animation|Family|Sci-Fi,2008.0,98.0,43806889.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.9623375737259642
Rush Hour 3 ,140080850.0,140000000.0,Action|Comedy|Crime|Thriller,2007.0,91.0,80850.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9589045274526113
2012 ,166112167.0,200000000.0,Action|Adventure|Sci-Fi,2009.0,158.0,-33887833.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9562375568499494
A Christmas Carol ,137850096.0,200000000.0,Animation|Drama|Family|Fantasy,2009.0,96.0,-62149904.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.95401862735753
Jupiter Ascending ,47375327.0,176000000.0,Action|Adventure|Sci-Fi,2015.0,127.0,-128624673.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9487995184876998
The Legend of Tarzan ,124051759.0,180000000.0,Action|Adventure|Drama|Romance,2016.0,110.0,-55948241.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.954505536223223
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",291709845.0,180000000.0,Adventure|Family|Fantasy,2005.0,150.0,111709845.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9676688133117277
X-Men: Apocalypse ,154985087.0,178000000.0,Action|Adventure|Sci-Fi,2016.0,144.0,-23014913.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9570912183829884
The Dark Knight ,533316061.0,185000000.0,Action|Crime|Drama|Thriller,2008.0,152.0,348316061.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9862453893443957
Up ,292979556.0,175000000.0,Adventure|Animation|Comedy|Family,2009.0,96.0,117979556.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9681610648047922
Monsters vs. Aliens ,198332128.0,175000000.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi,2009.0,94.0,23332128.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.9607300464137181
Iron Man ,318298180.0,140000000.0,Action|Adventure|Sci-Fi,2008.0,126.0,178298180.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9728968385467717
Hugo ,73820094.0,170000000.0,Adventure|Drama|Family|Mystery,2011.0,126.0,-96179906.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.9513468424389764
The Mummy: Tomb of the Dragon Emperor ,102176165.0,145000000.0,Action|Adventure|Fantasy|Horror|Thriller,2008.0,112.0,-42823835.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.9555359678410577
Suicide Squad ,161087183.0,175000000.0,Action|Adventure|Comedy|Sci-Fi,2016.0,123.0,-13912817.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.957805847868465
Evan Almighty ,100289690.0,175000000.0,Comedy|Family|Fantasy,2007.0,96.0,-74710310.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.953032476862396
Edge of Tomorrow ,100189501.0,178000000.0,Action|Adventure|Sci-Fi,2014.0,113.0,-77810499.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9527890728739136
G.I. Joe: The Rise of Cobra ,150167630.0,175000000.0,Action|Adventure|Sci-Fi|Thriller,2009.0,118.0,-24832370.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.9569485250560024
Inside Out ,356454367.0,175000000.0,Adventure|Animation|Comedy|Drama|Family|Fantasy,2015.0,95.0,181454367.0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9731446390854473
The Jungle Book ,362645141.0,175000000.0,Adventure|Drama|Family|Fantasy,2016.0,106.0,187645141.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9736306930271242
Iron Man 2 ,312057433.0,200000000.0,Action|Adventure|Sci-Fi,2010.0,124.0,112057433.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9676961033593824
Snow White and the Huntsman ,155111815.0,170000000.0,Action|Adventure|Drama|Fantasy,2012.0,132.0,-14888185.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9577292691626382
Maleficent ,241407328.0,180000000.0,Action|Adventure|Family|Fantasy|Romance,2014.0,97.0,61407328.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.96371943046168
Dawn of the Planet of the Apes ,208543795.0,170000000.0,Action|Adventure|Drama|Sci-Fi,2014.0,130.0,38543795.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9619243543798669
47 Ronin ,38297305.0,175000000.0,Action|Adventure|Drama|Fantasy,2013.0,128.0,-136702695.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9481652917441532
Captain America: The Winter Soldier ,259746958.0,170000000.0,Action|Adventure|Sci-Fi,2014.0,136.0,89746958.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9659444493150844
Shrek Forever After ,238371987.0,165000000.0,Adventure|Animation|Comedy|Family|Fantasy,2010.0,93.0,73371987.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9646588072936836
Tomorrowland ,93417865.0,190000000.0,Action|Adventure|Family|Mystery|Sci-Fi,2015.0,130.0,-96582135.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.9513152623827658
Big Hero 6 ,222487711.0,165000000.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,2014.0,102.0,57487711.0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.9634116910267218
Wreck-It Ralph ,189412677.0,165000000.0,Adventure|Animation|Comedy|Family|Sci-Fi,2012.0,101.0,24412677.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.9608148831563653
The Polar Express ,665426.0,165000000.0,Adventure|Animation|Family|Fantasy,2004.0,100.0,-164334574.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9459958402823667
Independence Day: Resurgence ,102315545.0,165000000.0,Action|Adventure|Sci-Fi,2016.0,120.0,-62684455.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9539766583532379
How to Train Your Dragon ,217387997.0,165000000.0,Adventure|Animation|Family|Fantasy,2010.0,98.0,52387997.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9630112990739345
Terminator 3: Rise of the Machines ,150350192.0,200000000.0,Action|Sci-Fi,2003.0,109.0,-49649808.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9550000427560149
Guardians of the Galaxy ,333130696.0,170000000.0,Action|Adventure|Sci-Fi,2014.0,121.0,163130696.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9717059995041056
Interstellar ,187991439.0,165000000.0,Adventure|Drama|Sci-Fi,2014.0,169.0,22991439.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9607032980246901
Inception ,292568851.0,160000000.0,Action|Adventure|Sci-Fi|Thriller,2010.0,148.0,132568851.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.9693065087090662
The Hobbit: An Unexpected Journey ,303001229.0,180000000.0,Adventure|Fantasy,2012.0,182.0,123001229.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9685553295535074
The Fast and the Furious ,144512310.0,38000000.0,Action|Crime|Thriller,2001.0,106.0,106512310.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9672607411750686
The Curious Case of Benjamin Button ,127490802.0,150000000.0,Drama|Fantasy|Romance,2008.0,166.0,-22509198.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.9571309233971135
X-Men: First Class ,146405371.0,160000000.0,Action|Adventure|Sci-Fi,2011.0,132.0,-13594629.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.95783082964483
The Hunger Games: Mockingjay - Part 2 ,281666058.0,160000000.0,Adventure|Sci-Fi,2015.0,137.0,121666058.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.968450501768264
The Sorcerer's Apprentice ,63143812.0,150000000.0,Action|Adventure|Family|Fantasy,2010.0,109.0,-86856188.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9520788720502954
Poseidon ,60655503.0,160000000.0,Action|Adventure|Drama|Thriller,2006.0,98.0,-99344497.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9510983820801674
Alice Through the Looking Glass ,76846624.0,170000000.0,Adventure|Family|Fantasy,2016.0,113.0,-93153376.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9515844632657265
Shrek the Third ,320706665.0,160000000.0,Adventure|Animation|Comedy|Family|Fantasy,2007.0,93.0,160706665.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9715156824577561
Warcraft ,46978995.0,160000000.0,Action|Adventure|Fantasy,2016.0,123.0,-113021005.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9500246034828908
Terminator Genisys ,89732035.0,155000000.0,Action|Adventure|Sci-Fi,2015.0,126.0,-65267965.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9537738201913438
The Chronicles of Narnia: The Voyage of the Dawn Treader ,104383624.0,155000000.0,Adventure|Family|Fantasy,2010.0,113.0,-50616376.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9549241549613225
Pearl Harbor ,198539855.0,140000000.0,Action|Drama|History|Romance|War,2001.0,184.0,58539855.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.9634942976181451
Transformers ,318759914.0,150000000.0,Action|Adventure|Sci-Fi,2007.0,144.0,168759914.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9721479642079469
Alexander ,34293771.0,155000000.0,Action|Adventure|Biography|Drama|History|Romance|War,2004.0,206.0,-120706229.0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.9494212163429515
Harry Potter and the Order of the Phoenix ,292000866.0,150000000.0,Adventure|Family|Fantasy|Mystery,2007.0,138.0,142000866.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9700470410025575
Harry Potter and the Goblet of Fire ,289994397.0,150000000.0,Adventure|Family|Fantasy|Mystery,2005.0,157.0,139994397.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9698895078465575
Hancock ,227946274.0,150000000.0,Action|Drama,2008.0,102.0,77946274.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9650179465914049
I Am Legend ,256386216.0,150000000.0,Drama|Horror|Sci-Fi,2007.0,104.0,106386216.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.9672508412036398
Charlie and the Chocolate Factory ,206456431.0,150000000.0,Adventure|Comedy|Family|Fantasy,2005.0,115.0,56456431.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.963330722522788
Ratatouille ,206435493.0,150000000.0,Animation|Comedy|Family|Fantasy,2007.0,111.0,56435493.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.963329078625364
Batman Begins ,205343774.0,150000000.0,Action|Adventure,2005.0,128.0,55343774.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963243364896652
Madagascar: Escape 2 Africa ,179982968.0,150000000.0,Action|Adventure|Animation|Comedy|Family,2008.0,89.0,29982968.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9612522213465233
Night at the Museum: Battle of the Smithsonian ,177243721.0,150000000.0,Adventure|Comedy|Family|Fantasy,2009.0,105.0,27243721.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9610371558633419
X-Men Origins: Wolverine ,179883016.0,150000000.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,2009.0,119.0,29883016.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.9612443738522394
The Matrix Revolutions ,139259759.0,150000000.0,Action|Sci-Fi,2003.0,129.0,-10740241.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9580549351506158
Frozen ,400736600.0,150000000.0,Adventure|Animation|Comedy|Family|Fantasy|Musical,2013.0,102.0,250736600.0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.9785841693344646
The Matrix Reloaded ,281492479.0,150000000.0,Action|Sci-Fi,2003.0,138.0,131492479.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9692219999136699
Thor: The Dark World ,206360018.0,170000000.0,Action|Adventure|Fantasy,2013.0,112.0,36360018.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9617529003066616
Mad Max: Fury Road ,153629485.0,150000000.0,Action|Adventure|Sci-Fi|Thriller,2015.0,120.0,3629485.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.9591831401154743
Angels & Demons ,133375846.0,150000000.0,Mystery|Thriller,2009.0,146.0,-16624154.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.9575929736727562
Thor ,181015141.0,150000000.0,Action|Adventure|Fantasy,2011.0,115.0,31015141.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9613332599622348
Bolt ,114053579.0,150000000.0,Adventure|Animation|Comedy|Drama|Family,2008.0,96.0,-35946421.0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9560759316942437
G-Force ,119420252.0,150000000.0,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2009.0,88.0,-30579748.0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.95649728329993
Wrath of the Titans ,83640426.0,150000000.0,Action|Adventure|Fantasy,2012.0,99.0,-66359574.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.953688115099021
Dark Shadows ,79711678.0,100000000.0,Comedy|Fantasy|Horror,2012.0,113.0,-20288322.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.9573052902103384
